date,net_portfolio_value,net_daily_return,net_daily_log_return,net_cumulative_return,net_cumulative_log_return,net_drawdown,gross_portfolio_value,gross_daily_return,gross_daily_log_return,gross_cumulative_return,gross_cumulative_log_return,gross_drawdown,volume_traded
2007-06-08,1016861.1559538483,-0.007280656089655335,-0.0073072894170060085,0.016861155953848295,0.016720584593730804,-0.06046290637366025,1016861.1559538483,-0.007280656089655335,-0.0073072894170060085,0.016861155953848295,0.016720584593730804,-0.06046290637366025,0.0
2007-06-11,1018914.5217946386,0.002019317808304111,0.00201728172663521,0.018914521794638706,0.018737866320366114,-0.058565682388938334,1018914.5217946386,0.002019317808304111,0.00201728172663521,0.018914521794638706,0.018737866320366114,-0.058565682388938334,674669.7423026373
2007-06-12,1015081.5486098386,-0.0037618201554816544,-0.0037689135960090707,0.015081548609838569,0.014968952724356933,-0.06210718897998968,1015081.5486098386,-0.0037618201554816544,-0.0037689135960090707,0.015081548609838569,0.014968952724356933,-0.06210718897998968,0.0
2007-06-13,1018617.3594724648,0.0034832776415534283,0.003477225081082788,0.01861735947246479,0.01844617780543986,-0.058840247921189914,1018617.3594724648,0.0034832776415534283,0.003477225081082788,0.01861735947246479,0.01844617780543986,-0.058840247921189914,0.0
2007-06-14,1022140.1928520327,0.0034584462426523466,0.0034524795704315965,0.022140192852032614,0.021898657375871284,-0.05558529751287733,1022140.1928520327,0.0034584462426523466,0.0034524795704315965,0.022140192852032614,0.021898657375871284,-0.05558529751287733,0.0
2007-06-15,1024763.2169642156,0.002566207777099594,0.002562920688289589,0.024763216964215573,0.024461578064160865,-0.053161733158547775,1024763.2169642156,0.002566207777099594,0.002562920688289589,0.024763216964215573,0.024461578064160865,-0.053161733158547775,0.0
2007-06-18,1026867.4939058444,0.0020534274716286216,0.0020513220711368164,0.02686749390584442,0.02651290013529769,-0.051217469450226316,1026867.4939058444,0.0020534274716286216,0.0020513220711368164,0.02686749390584442,0.02651290013529769,-0.051217469450226316,176446.56406209842
2007-06-19,1026801.8458112299,-0.00006393044380514912,-0.0000639324874430726,0.026801845811229796,0.02644896764785448,-0.05127812553847899,1026801.8458112299,-0.00006393044380514912,-0.0000639324874430726,0.026801845811229796,0.02644896764785448,-0.05127812553847899,0.0
2007-06-20,1024930.8751147175,-0.0018221341382905765,-0.0018237962440595275,0.024930875114717477,0.024625171403795047,-0.05300682405367829,1024930.8751147175,-0.0018221341382905765,-0.0018237962440595275,0.024930875114717477,0.024625171403795047,-0.05300682405367829,0.0
2007-06-21,1025094.9953512537,0.00016012810280274792,0.00016011528366654537,0.02509499535125359,0.024785286687461626,-0.05285518383304688,1025094.9953512537,0.00016012810280274792,0.00016011528366654537,0.02509499535125359,0.024785286687461626,-0.05285518383304688,0.0
